TaskID,ProjectID,SubprojectID,Area,Feature_Surface,Title,Acceptance,Status,Severity,Priority,Owner,Due_Date,Routes,Handler,Dependencies,Evidence_Link,Updated_UTC
MYMI-GTM-055,MYMI-GTM-COMPLETION,W5,Customer experience and compliance ownership,Certify public marketing SEO and conversion routes,Certify public marketing SEO and conversion routes,"Complete and certify “Certify public marketing SEO and conversion routes” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,medium,P1,marketing-owner,,app/Config/Routes.php;tests/feature/PublicRoutesAccessibleTest.php,app/Config/Routes.php;app/Views/;public/;tests/feature/PublicRoutesAccessibleTest.php,MYMI-GTM-026,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-056,MYMI-GTM-COMPLETION,W5,Customer experience and compliance ownership,Certify documentation knowledgebase and blog,Certify documentation knowledgebase and blog,"Complete and certify “Certify documentation knowledgebase and blog” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,low,P2,marketing-owner,,,app/Views/;docs/;public/;tests/,MYMI-GTM-055,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-057,MYMI-GTM-COMPLETION,W5,Customer experience and compliance ownership,Certify legal consent and financial compliance ownership,Certify legal consent and financial compliance ownership,"Registration uses public current legal pages, records consent, and has named counsel/compliance decisions for KYC, AML, OFAC, fees, and claims.",proposed,critical,P0,human-legal-compliance,,app/Config/Routes.php,app/Views/auth/;app/Views/;docs/legal/;app/Config/Routes.php;app/Models/,MYMI-GTM-045;MYMI-GTM-055,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-058,MYMI-GTM-COMPLETION,W5,Customer experience and compliance ownership,Certify accessibility responsive design and browser forms,Certify accessibility responsive design and browser forms,"Complete and certify “Certify accessibility responsive design and browser forms” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,medium,P1,ux-owner,,,app/Views/;public/assets/;tests/,MYMI-GTM-036;MYMI-GTM-055,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-059,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Establish schema ownership and migration completeness,Establish schema ownership and migration completeness,"Complete and certify “Establish schema ownership and migration completeness” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P0,database-owner,,,app/Models/;app/Database/Migrations/;app/Database/Seeds/;docs/,MYMI-GTM-014,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-060,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Prove backup restore and disaster recovery,Prove backup restore and disaster recovery,"Complete and certify “Prove backup restore and disaster recovery” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,critical,P0,human-operations-mutation,,,docs/;scripts/;app/Commands/,MYMI-GTM-059,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-061,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Build risk-based module test coverage,Build risk-based module test coverage,"Complete and certify “Build risk-based module test coverage” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P0,source-review,,,tests/;app/Modules/;phpunit.xml.dist,MYMI-GTM-007;MYMI-GTM-022,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-062,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Certify management admin jobs and cron,Certify management admin jobs and cron,"Complete and certify “Certify management admin jobs and cron” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P0,operations-owner,,app/Config/Routes.php,app/Modules/Management/;app/Commands/;app/Config/Routes.php;tests/,MYMI-GTM-029;MYMI-GTM-031,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-063,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Establish observability SLO and incident signals,Establish observability SLO and incident signals,"Complete and certify “Establish observability SLO and incident signals” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P0,operations-owner,,,app/Config/Logger.php;app/Services/;app/Commands/;docs/,MYMI-GTM-031;MYMI-GTM-062,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-064,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Reconcile repository hygiene assets and operator README,Reconcile repository hygiene assets and operator README,"Complete and certify “Reconcile repository hygiene assets and operator README” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,medium,P1,source-review,,,README.md;mobile/assets/;app/Modules/;docs/,MYMI-GTM-009,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-065,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Decide and certify mobile application release scope,Decide and certify mobile application release scope,"Complete and certify “Decide and certify mobile application release scope” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P2,mobile-release-owner,,,mobile/package.json;mobile/app.json;mobile/src/;mobile/assets/;mobile/README.md,MYMI-GTM-016;MYMI-GTM-027,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-066,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Decide and certify MyMI SDK contract,Decide and certify MyMI SDK contract,"Complete and certify “Decide and certify MyMI SDK contract” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,medium,P2,sdk-owner,,,mymi-sdk/package.json;mymi-sdk/src/;docs/,MYMI-GTM-027,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-067,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Measure performance capacity and provider limits,Measure performance capacity and provider limits,"Complete and certify “Measure performance capacity and provider limits” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P1,human-performance-environment,,,app/Config/;app/Services/;app/Commands/;docs/,MYMI-GTM-063,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-068,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Certify isolated staging release candidate,Certify isolated staging release candidate,"The exact RC SHA, artifact, and schema pass scoped public, auth, finance, privacy, admin, security, and failure journeys in staging.",proposed,critical,P0,human-staging-mutation,,,docs/launch/;tests/;app/Config/,MYMI-GTM-011;MYMI-GTM-017;MYMI-GTM-028;MYMI-GTM-034;MYMI-GTM-037;MYMI-GTM-039;MYMI-GTM-045;MYMI-GTM-057;MYMI-GTM-060;MYMI-GTM-063,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-069,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Approve deployment and prove rollback,Approve deployment and prove rollback,"Named approvers accept artifact, migration order, monitors, stop conditions, and a rehearsed rollback or forward-fix.",proposed,critical,P0,human-release-approval,,,docs/launch/;docs/;scripts/,MYMI-GTM-068,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-070,MYMI-GTM-COMPLETION,W6,Data operations clients and release,Reconcile production after approved deployment,Reconcile production after approved deployment,"Production SHA, schema, config, smoke, jobs, telemetry, and financial reconciliation match the approval or trigger rollback.",proposed,critical,P0,human-production-readonly-and-rollback,,,docs/launch/;docs/_aiops/;scripts/,MYMI-GTM-069,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
